Z_m,t_s,T_C
0,0,0
0,0.100165419,954.3378452
0,0.200157542,1682.536881
0,0.300149665,2761.153458
0,0.400141788,3243.067588
0,0.500133911,3272.158752
0,0.600126034,3183.811206
0,0.700118156,3275.124108
0,0.800110279,2911.873129
0,0.900102402,2307.667711
0,1.000094525,1899.644443
0,1.100086648,1607.179646
0,1.20007877,1469.523029
0,1.300070893,1388.782993
0,1.400063016,1296.453466
0,1.500055139,1196.96075
0,1.600047262,1108.873732
0,1.700039385,1030.847952
0,1.800031507,961.2601393
0,1.90002363,905.5628043
0,2.000015753,864.8618426
0,2.100007876,819.7650289
0,2.200173295,777.4008509
0,2.300165418,724.9234914
0,2.400157541,676.3292616
0,2.500149664,632.3588252
0,2.600141786,592.4594547
0,2.700133909,556.1187535
0,2.800126032,522.9051773
0,2.900118155,492.4545298
0,3.000110278,464.4572753
0,3.100102401,438.6485411
0,3.200094523,414.8002542
0,3.300086646,392.7148978
0,3.400078769,372.2205099
0,3.500070892,353.1666425
0,3.600063015,335.4210705
0,3.700055137,318.867092
0,3.80004726,303.4012993
0,3.900039383,288.9317255
0,4.000031506,275.3762956
0,4.100023629,262.6615249
0,4.200015752,250.7214181
0,4.300007874,239.4965357
0,4.400173294,228.915435
0,4.500165417,218.9660582
0,4.600157539,209.5854323
0,4.700149662,200.7334304
0,4.800141785,192.3734678
0,4.900133908,184.4721196
0,5.000126031,176.9987877
0,5.100118153,169.9254086
0,5.200110276,163.2261973
0,5.300102399,156.8774219
0,5.400094522,150.8572041
0,5.500086645,145.145343
0,5.600078768,139.7231587
0,5.70007089,134.5733529
0,5.800063013,129.6798845
0,5.900055136,125.0278593
0,6.000047259,120.6034301
0,6.100039382,116.3937076
0,6.200031504,112.3866803
0,6.300023627,108.5711421
0,6.40001575,104.9366273
0,6.500007873,101.4733516
0,6.600173292,98.16657258
0,6.700165415,95.01914351
0,6.800157538,92.01716463
0,6.900149661,89.15309041
0,7.000141784,86.41983408
0,7.100133906,83.81073428
0,7.200126029,81.31952459
0,7.300118152,78.94030566
0,7.400110275,76.66751961
0,7.500102398,74.4959266
0,7.60009452,72.42058327
0,7.700086643,70.43682291
0,7.800078766,68.5402372
0,7.900070889,66.72665934
0,8.000063012,64.99214856
0,8.100055135,63.3329757
0,8.200047257,61.74560994
0,8.30003938,60.22670651
0,8.400031503,58.77309524
0,8.500023626,57.38177001
0,8.600015749,56.04987891
0,8.700007871,54.77471508
0,8.800173291,53.55163766
0,8.900165414,52.38243369
0,9.000157536,51.26262068
0,9.100149659,50.1899928
0,9.200141782,49.1624521
0,9.300133905,48.17800256
0,9.400126028,47.23474445
0,9.500118151,46.33086907
0,9.600110273,45.46465384
0,9.700102396,44.63445764
0,9.800094519,43.83871655
0,9.900086642,43.07593971
0,10.00007876,42.34470555
0,10.10007089,41.64365821
0,10.20006301,40.97150412
0,10.30005513,40.32700885
0,10.40004726,39.70899413
0,10.50003938,39.11633502
0,10.6000315,38.54795726
0,10.70002362,38.00283475
0,10.80001575,37.4799872
0,10.90000787,36.97847789
0,11.00017329,36.49659507
0,11.10016541,36.03514915
0,11.20015753,35.59247082
0,11.30014966,35.16777773
0,11.40014178,34.7603216
0,11.5001339,34.36938669
0,11.60012603,33.99428821
0,11.70011815,33.63437092
0,11.80011027,33.28900778
0,11.90010239,32.9575986
0,12.00009452,32.63956888
0,12.10008664,32.33436858
0,12.20007876,32.04147107
0,12.30007089,31.76037202
0,12.40006301,31.49058844
0,12.50005513,31.23165771
0,12.60004725,30.98313668
0,12.70003938,30.74460081
0,12.8000315,30.51564333
0,12.90002362,30.29587448
0,13.00001575,30.08492078
0,13.10000787,29.88242427
0,13.20017329,29.68771185
0,13.30016541,29.50112795
0,13.40015753,29.32201357
0,13.50014966,29.15006652
0,13.60014178,28.9849971
0,13.7001339,28.82652754
0,13.80012602,28.6743915
0,13.90011815,28.52833356
0,14.00011027,28.3881088
0,14.10010239,28.25348233
0,14.20009452,28.12422885
0,14.30008664,28.00013229
0,14.40007876,27.88098539
0,14.50007088,27.76658932
0,14.60006301,27.65675337
0,14.70005513,27.55129456
0,14.80004725,27.45003738
0,14.90003938,27.3528134
0,15.0000315,27.25946106
0,15.10002362,27.16982531
0,15.20001574,27.0837574
0,15.30000787,27.00111459
0,15.40017329,26.92162515
0,15.50016541,26.84543249
0,15.60015753,26.77227016
0,15.70014965,26.70201709
0,15.80014178,26.63455712
0,15.9001339,26.56977874
0,16.00012602,26.50757497
0,16.10011815,26.44784307
0,16.20011027,26.39048448
0,16.30010239,26.33540457
0,16.40009451,26.28251251
0,16.50008664,26.23172113
0,16.60007876,26.18294674
0,16.70007088,26.13610901
0,16.80006301,26.09113082
0,16.90005513,26.04793815
0,17.00004725,26.00645994
0,17.10003937,25.96662795
0,17.2000315,25.9283767
0,17.30002362,25.89164331
0,17.40001574,25.85636742
0,17.50000787,25.82249107
0,17.60017328,25.78990338
0,17.70016541,25.75866361
0,17.80015753,25.72866296
0,17.90014965,25.69985218
0,18.00014178,25.672184
0,18.1001339,25.64561303
0,18.20012602,25.62009569
